NameCompany,NameConsole,NameGame,Metascore,Userscore,Fecha
Sony,PSP,Metal Gear Solid: Peace Walker,89,8.8,2010-06-08 00:00:00.0
Sony,PSP,Lumines,89,6.7,2005-03-22 00:00:00.0
Sony,PSP,Final Fantasy Tactics: The War of the Lions,88,8.9,2007-10-09 00:00:00.0
Sony,PSP,Wipeout Pure,88,8.0,2005-03-16 00:00:00.0
Sony,PSP,Grand Theft Auto: Liberty City Stories,88,7.7,2005-10-24 00:00:00.0
Sony,PSP,Tekken: Dark Resurrection,88,8.5,2006-07-25 00:00:00.0
Sony,PSP,Ridge Racer,88,8.2,2005-03-22 00:00:00.0
Sony,PS4,Red Dead Redemption 2,97,7.7,2018-10-26 00:00:00.0
Sony,PS4,Grand Theft Auto V,97,8.3,2014-11-18 00:00:00.0
Sony,PS4,The Last of Us Remastered,95,9.1,2014-07-29 00:00:00.0
Sony,PS4,God of War,94,9.2,2018-04-20 00:00:00.0
Sony,PS4,Persona 5,93,9.0,2017-04-04 00:00:00.0
Sony,PS4,Metal Gear Solid V: The Phantom Pain,93,8.2,2015-09-01 00:00:00.0
Sony,PS4,Uncharted 4: A Thief's End,93,8.3,2016-05-10 00:00:00.0
Sony,PS4,The Witcher 3: Wild Hunt,92,9.2,2015-05-19 00:00:00.0
Sony,PS4,Bloodborne,92,8.9,2015-03-24 00:00:00.0
Sony,PS4,Undertale,92,6.5,2017-08-15 00:00:00.0
Sony,PS3,Grand Theft Auto IV,98,7.5,2008-04-29 00:00:00.0
Sony,PS3,Grand Theft Auto V,97,8.3,2013-09-17 00:00:00.0
Sony,PS3,Batman: Arkham City,96,8.7,2011-10-18 00:00:00.0
Sony,PS3,Uncharted 2: Among Thieves,96,8.9,2009-10-13 00:00:00.0
Sony,PS3,The Last of Us,95,9.2,2013-06-14 00:00:00.0
Sony,PS3,LittleBigPlanet,95,6.8,2008-10-27 00:00:00.0
Sony,PS3,Portal 2,95,8.5,2011-04-19 00:00:00.0
Sony,PS3,Red Dead Redemption,95,8.9,2010-05-18 00:00:00.0
Sony,PS3,Metal Gear Solid 4: Guns of the Patriots,94,8.8,2008-06-12 00:00:00.0
Sony,PS3,BioShock,94,8.7,2008-10-21 00:00:00.0
Sony,PS2,Tony Hawk's Pro Skater 3,97,7.5,2001-10-28 00:00:00.0
Sony,PS2,Grand Theft Auto III,97,8.5,2001-10-22 00:00:00.0
Sony,PS2,Resident Evil 4,96,9.0,2005-10-25 00:00:00.0
Sony,PS2,Metal Gear Solid 2: Sons of Liberty,96,8.8,2001-11-12 00:00:00.0
Sony,PS2,Grand Theft Auto: San Andreas,95,9.0,2004-10-26 00:00:00.0
Sony,PS2,Madden NFL 2003,95,7.4,2002-08-12 00:00:00.0
Sony,PS2,Grand Theft Auto: Vice City,95,8.8,2002-10-27 00:00:00.0
Sony,PS2,Gran Turismo 3: A-Spec,95,8.4,2001-07-09 00:00:00.0
Sony,PS2,Virtua Fighter 4,94,8.1,2002-03-17 00:00:00.0
Sony,PS2,Tony Hawk's Pro Skater 4,94,8.4,2002-10-23 00:00:00.0
Sony,PS,Tony Hawk's Pro Skater 2,98,7.4,2000-09-20 00:00:00.0
Sony,PS,Chrono Cross,94,8.8,2000-08-15 00:00:00.0
Sony,PS,Final Fantasy IX,94,9.2,2000-11-13 00:00:00.0
Sony,PS,Vagrant Story,92,9.0,2000-05-15 00:00:00.0
Sony,PS,Spyro: Year of the Dragon,91,8.9,2000-10-23 00:00:00.0
Sony,PS,Colin McRae Rally 2.0,90,8.2,2000-12-05 00:00:00.0
Sony,PS,Madden NFL 2001,90,6.8,2000-08-22 00:00:00.0
Sony,PS,Dance Dance Revolution,90,8.8,2001-05-09 00:00:00.0
Sony,PS,WWF SmackDown! 2: Know Your Role,90,8.7,2000-11-21 00:00:00.0
Sony,PS,Final Fantasy Chronicles,89,9.4,2001-06-29 00:00:00.0
PC,PC,Grand Theft Auto V,96,7.7,2015-04-14 00:00:00.0
PC,PC,The Orange Box,96,9.2,2007-10-10 00:00:00.0
PC,PC,BioShock,96,8.5,2007-08-21 00:00:00.0
PC,PC,Half-Life 2,96,9.1,2004-11-16 00:00:00.0
PC,PC,Baldur's Gate II: Shadows of Amn,95,9.2,2000-09-24 00:00:00.0
PC,PC,Portal 2,95,9.0,2011-04-18 00:00:00.0
PC,PC,The Elder Scrolls IV: Oblivion,94,8.1,2006-03-20 00:00:00.0
PC,PC,Sid Meier's Civilization IV,94,8.3,2005-10-25 00:00:00.0
PC,PC,BioShock Infinite,94,8.6,2013-03-25 00:00:00.0
PC,PC,The Elder Scrolls V: Skyrim,94,8.2,2011-11-10 00:00:00.0
